name_en,name_de,color_en,sku,price_usd,price_eur,instock,description_en,description_de,category_en,active,image_main,image_alt,image_alt2,image_alt3
hybris Coffee Mug - White,hybris-Kaffeetasse - Wei’™ ,White,1234000,9.99,7.99,1,"Drink your morning, afternoon, and evening coffee from the hybris mug.  Get caffinated in style. ","Trinken Sie Ihren Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Holen caffinated im Stil. ",Coffee mugs,1,mug-coffee-white-1.jpg,mug-coffee-white-2.jpg,mug-coffee-2-pack.jpg,mug-coffee-espresso.jpg
hybris Coffee Mug - Black,hybris-Kaffeetasse - Schwarz ,Black ,1234001,9.99,7.99,1,"Drink your morning, afternoon, and evening coffee from the hybris mug.  Get caffinated in style. ","Trinken Sie Ihren Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Holen caffinated im Stil. ",Coffee mugs,1,mug-coffee-black-1.jpg,mug-coffee-black-2.jpg,mug-coffee-2-pack.jpg,mug-coffee-espresso.jpg
hybris Thermos - White,hybris Thermos - Wei’™ ,White,1234002,14.99,11.99,1,Practical thermos with hook. Make sure your coffee or tea stays warm for hours in this sleek looking thermos with printed hybris logo. ,"Praktische Thermoskanne mit Haken. Stellen Sie sicher, Ihren Kaffee oder Tee warm bleibt f’_r Stunden in diesem schlanke suchen Thermos mit gedruckten hybris-Logo. ",Thermos bottles,1,bottle-thermo-white-1.jpg,bottle-thermo-2-pack.jpg,,
hybris Executive Pen,hybris Vorstands Pen ,Silver/Black,1234003,29.99,23.99,1,The pen that makes an executive statement. Stylish pen in silver an black. The perfect accessory for any meeting or conference. ,"Der Stift, der eine F’_hrungs Erkl’_rung abgibt. Stilvollen Stift in Silber ein schwarz. Das perfekte Accessoire f’_r jede Tagung oder Konferenz. ",Notebooks & pens,1,pen-executive-1.jpg,pen-executive-2.jpg,,
hybris Beer Mug,hybris-Bierkrug ,Clear/Blue,1234004,6.99,5.59,1,Traditional bavarian beer mug with hybris logo in blue. Drink your beer in the same style as hybris employees have done since the company's first days. ,Traditionellen bayerischen Bierkrug mit hybris-Logo in blau. Trinken Sie Ihr Bier in der gleichen Art wie hybris Mitarbeiter sind seit der ersten Tage des Unternehmens getan. ,Beer mugs,1,mug-beer-1.jpg,mug-beer-2.jpg,,
hybris Sunglasses - White,hybris Sonnenbrille - Wei’™ ,White,1234005,12.49,9.99,1,The must-have accessory this summer. Cool sunglasses in Ray-Ban style with the hybris logo placed neatly on the side. These sunglasses come in white and blue.,Das Must-Have-Accessoire in diesem Sommer. Coole Sonnenbrille im Ray-Ban-Stil mit der hybris-Logo platziert ordentlich auf der Seite. Diese Sonnenbrille gibt es in wei’™ und blau. ,Sunglasses,1,sunglasses-white-1.jpg,sunglasses-white-2.jpg,sunglasses-white-3.jpg,
hybris Sunglasses - Blue,hybris Sonnenbrille - Blau ,Blue,1234006,12.49,9.99,1,The must-have accessory this summer. Cool sunglasses in Ray-Ban style with the hybris logo placed neatly on the side. These sunglasses come in white and blue.,Das Must-Have-Accessoire in diesem Sommer. Coole Sonnenbrille im Ray-Ban-Stil mit der hybris-Logo platziert ordentlich auf der Seite. Diese Sonnenbrille gibt es in wei’™ und blau. ,Sunglasses,1,sunglasses-blue-1.jpg,sunglasses-blue-2.jpg,sunglasses-blue-3.jpg,
hybris Executive Notebook,hybris Vorstands Notebook ,Black ,1234007,19.99,15.99,0,Take sprint meeting  notes old school like a boss using the hybris notebook. Lined pages with a convenient for extra notes in the margin. ,Nehmen Sprint Meeting-Notizen der alten Schule wie ein Chef mit der hybris-Notebook. Linierten Seiten mit einem bequemen f’_r zus’_tzliche Notizen an den Rand.,Notebooks & pens,1,notebook-1.jpg,notebook-2.jpg,notebook-3.jpg,notebook-4.jpg
hybris Roller Pen - Blue,hybris Kugelschreiber - Blau ,Silver/Blue,1234008,1.99,1.59,1,Beautifully shaped pen in silver and blue with hybris logo. Have fun taking notes the traditional way!,"Sch’_n geformte Stift in Silber und Blau mit hybris-Logo. Viel Spa’™, die Noten auf die alte Weise! ",Notebooks & pens,1,pen-roller-blue-1.jpg,,,
hybris Pen - Black,hybris Pen - Schwartz,Black,1234009,2.49,1.99,0,Beautifully shaped pen in black with hybris logo. Have fun taking notes the traditional way!,Wundersch’_n in schwarz mit hybris logo f’_rmigen Stift. Viel Spa’™ Kenntnisse nimmt die traditionelle Art!,Notebooks & pens,1,pen-black-1.jpg,,,
hybris Frisbee,hybris Frisbee ,Blue,1234010,4.99,3.99,1,"Code hard, play hard. Get everyone together for a round of golf frisbee with the hybris frisbee. Throw far and make the goal. ","Code hard, play hard. Holen Sie sich alle gemeinsam f’_r eine Runde Golf mit Frisbee Frisbee der hybris. Werfen weit und machen das Tor. ",Toys & games,1,frisbee-1.jpg,frisbee-2.jpg,,
hybris Helmet,hybris Helm ,White,1234011,59.99,47.99,1,"Stay safe at any construction site with this safty helmet from hybris. With an ajustable strap in the back, this helmet to fits heads of all sizes. ","Bleiben Sie sicher auf jeder Baustelle mit diesem safty Helm von hybris. Einstellbar in den R’_cken, K’_pfe aller Gr’_’™en passen. ",Office,1,helmet-safty-1.jpg,helmet-safty-2.jpg,helmet-safty-3.jpg,
hybris Fruit Infuser Drinking Bottle,hybris Trinkflasche ,Clear/Blue,1234012,29.99,23.99,1,"Tired of plain water? Add some flavour with this handy water bottle. Just drop a few pieces of lime, fruits, cucumber or other tasty flavorings into the middle part and fill up with water. Helps you stay hydrated while coding on. ","M’_de von klarem Wasser? F’_gen Sie etwas Geschmack mit diesem handlichen Wasserflasche. Einfach fallen ein paar St’_cke von Kalk, Obst, Gurken oder andere leckere Geschmacksstoffe in den mittleren Teil und mit Wasser auff’_llen. Hilft Sie hydratisiert bleiben, w’_hrend Codierung auf. ",Water bottles,1,bottle-water-fruit-infuser-1.jpg,bottle-water-fruit-infuser-2.jpg,bottle-water-fruit-infuser-3.jpg,bottle-water-fruit-infuser-4.jpg
hybris Earbuds,hybris Earbuds ,White/Black,1234013,15,12,1,"At work or play, hybris earbuds will silence those well-meaning personal space intruders so you can focus. ","Bei der Arbeit oder zu spielen, wird hybris Ohrh’_rer jene wohlmein pers’_nlichen Raum Eindringlinge zum Schweigen zu bringen, so dass Sie konzentrieren k’_nnen. ",Accessories,1,earbuds-1.jpg,earbuds-2.jpg,earbuds-3.jpg,
hybris Lanyard,hybris Lanyard ,Blue,1234014,1.99,1.59,0,Keep track of your new SAP entrance cards wearing the lanyard from hybris. Easy to hang around your neck and makes sure you'll never stay locked out of the office,"Behalten Sie Ihre neue SAP Eintrittskarten Tragen der Lanyard von hybris. Einfach um den Hals h’_ngen und sorgt daf’_r, dass Sie nie aus dem B’_ro gesperrt bleiben ",Office,1,lanyard-1.jpg,,,
hybris Lipbalm,hybris Lippenbalsam ,White,1234015,1.49,1.19,1,Keep your lips from cracking this winter. hybris lipbalm is developed with a special formula from the Swiss alps. Making sure you can smile comfortably to your colleagues all day long. ,"Halten Sie Ihre Lippen vor Rissen in diesem Winter. hybris lipbalm ist mit einer speziellen Formel aus den Schweizer Alpen entwickelt. Daf’_r, dass Sie bequem an Ihre Kollegen den ganzen Tag l’_cheln kann. ",Accessories,1,lipbalm-1.jpg,lipbalm-2.jpg,lipbalm-3.jpg,
hybris Sports Cap,hybris Sports Cap ,Blue,1234016,14.99,11.99,1,80s style inspired cap for the coolest kids at the developer camp. Let your hair grow and develop groovy style. ,80er Jahre Stil inspiriert Kappe f’_r die coolsten Kids auf der Entwickler-Camp. Lassen Sie Ihr Haar wachsen und sich entwickeln groovy Stil. ,Caps,1,cap-sports-1.jpg,cap-sports-2.jpg,,
hybris Running Cap,hybris Lauf Cap ,Blue,1234017,19.99,15.99,1,"Whether your training for the yearly B2-Run, triathlons or just staying in shape and healthy, this cap will keep the sun out of your face and make you look sporty and fresh while doing so. ","Ob Ihr Training f’_r die j’_hrlichen B2-Run, Triathlon oder einfach in Form zu bleiben und gesund, diese Kappe wird die Sonne aus dem Gesicht zu halten und machen Sie sportlich und frisch aussehen, w’_hrend dies zu tun. ",Caps,1,cap-running-1.jpg,,,
hybris Water Bottle,hybris-Wasser-Flasche ,Clear/Blue,1234018,24.99,19.99,1,Drink you water with style. Fashonably designed with easy grip. Stylish top in stainless steel that makes the bottle easy to open and close. Staying hydrated has never been easier. ,"Trinken Sie Wasser mit Stil. Fashonably mit einfachen Griff konzipiert. Stylishes Top aus Edelstahl, die die Flasche leicht zu ’_ffnen und zu schlie’™en ist. Bleiben hydratisiert war noch nie einfacher. ",Water bottles,1,bottle-water-1.jpg,bottle-water-2.jpg,bottle-water-3.jpg,
hybris Thermos - Blue,hybris Thermos - Blau ,Blue,1234019,14.99,11.99,1,Practical thermos with hook. Make sure your coffee or tea stays warm for hours in this sleek looking thermos with printed hybris logo. ,"Praktische Thermoskanne mit Haken. Stellen Sie sicher, Ihren Kaffee oder Tee warm bleibt f’_r Stunden in diesem schlanke suchen Thermos mit gedruckten hybris-Logo. ",Thermos bottles,1,bottle-thermo-blue-1.jpg,bottle-thermo-blue-2.jpg,bottle-thermo-2-pack.jpg,
hybris Pashmina,hybris Pashmina ,Blue,1234020,39.99,31.99,1,Cold? Warm up with blue - hybris blue.  Our pashmina will keep you warm as you code while keeping you looking cool.  ,"Kalt? Aufw’_rmen mit blau - hybris blau. Unsere Pashmina h’_lt Sie warm, wie Sie Code zu halten, w’_hrend Sie auf der Suche cool. ",Accessories,1,scarf-1.jpg,scarf-2.jpg,,
hybris USB,hybris USB ,Silver,1234021,5.99,4.79,0,"Store, move or bring your files with you on this neat hybris USB Flash Drive. Modern and practical design. Stores up to 8GB. ","Speichern, verschieben oder bringen Sie Ihre Dateien mit Ihnen auf diesem ordentlichen hybris USB-Flash-Laufwerk. Modernen und praktischen Design. Speichert bis zu 8 GB. ",Accessories,1,usb-stick-1.jpg,,,
hybris Keep Calm T-shirt,hybris Rundhals-T-Shirt ,Blue,1234022,12.49,9.99,1,Keep calm and hybris on! The must-have t-shirt for any hybris developer. Don't be lame and hurry up order it now!,"Bewahren Sie Ruhe und hybris auf! Das Must-Have-T-Shirt f’_r jede hybris-Entwickler. Sie lahm und nicht beeilen, um es jetzt! ",T-shirts,1,t-shirt-keep-calm-1.jpg,t-shirt-keep-calm-2.jpg,t-shirt-keep-calm-3.jpg,t-shirt-3-pack.jpg
hybris Keyholder - Blue,hybris Schl’_sselanh’_nger - Blau ,Blue,1234023,3.99,3.19,1,Keep your keys packed away in this leather pocket. Makes sure your phone screen is not scratched and broken by keys in your pocket or bag. ,"Halten Sie Ihre Schl’_ssel verstaut in dieser Ledertasche . Stellt sicher, dass Ihr Handy-Bildschirm ist nicht zerkratzt und mit Schl’_ssel in der Hosentasche oder Handtasche gebrochen. ",Accessories,1,keyholder-blue.jpg,,,
hybris Keyholder - Black,hybris Schl’_sselanh’_nger - Schwarz ,Black,1234024,3.99,3.19,1,Keep your keys packed away in this leather pocket. Makes sure your phone screen is not scratched and broken by keys in your pocket or bag. ,"Halten Sie Ihre Schl’_ssel verstaut in dieser Ledertasche . Stellt sicher, dass Ihr Handy-Bildschirm ist nicht zerkratzt und mit Schl’_ssel in der Hosentasche oder Handtasche gebrochen. ",Accessories,1,keyholder-black.jpg,,,
hybris Tight Grip Pen,hybris Soft Grip Pen ,Blue,1234025,2.49,1.99,1,Handwriting made comfortable with a non-slip rubber surface. Long-lasting pen of top quality. ,Handschrift gem’_tlich gemacht mit einer Anti-Rutsch-Gummi-Oberfl’_che. Lang anhaltende Feder von Top-Qualit’_t. ,Notebooks & pens,1,pen-tight-grip-roller-1.jpg,pen-tight-grip-roller-2.jpg,,
hybris Mousepad,hybris Mousepad ,Blue,1234026,1.99,1.59,0,High quality mousepad in blue from hybris. ,Hochwertiges Mousepad in blau von hybris.,Accessories,1,mouse-pad-1.jpg,,,
hybris Squeeze Ball,hybris Stressball ,Black,1234027,2.49,1.99,1,"Relieve stress whenever, where ever with the hybris stress ball. Squeeze this elastic ball a few times and feel the tensions built up from hard thinking and though decision making fade away. 7 centimeter in diameter. ","Stress abzubauen, wann immer, wo immer mit der hybris-Stress-Ball. Diese elastische Squeeze Ball ein paar Mal und das Gef’_hl, die Spannungen aus der Fest Denken und obwohl Entscheidungs _— _— verblassen gebaut. 7 cm Durchmesser. ",Toys & games,1,ball-squeeze-1.jpg,ball-squeeze-2.jpg,,
