name_en,color_en,sku,price_usd,instock,description_en,description_de,active,image_main,image_alt,image_alt2,image_alt3
hybris Coffee Mug - White,White,1234000,9.99,1,"Drink your morning, afternoon, and evening coffee from the hybris mug.  Get caffinated in style. ","Trinken Sie Ihren Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Holen caffinated im Stil. ",1,mug-coffee-white-1.jpg,mug-coffee-white-2.jpg,mug-coffee-2-pack.jpg,mug-coffee-espresso.jpg
hybris Coffee Mug - Black,Black ,1234001,9.99,1,"Drink your morning, afternoon, and evening coffee from the hybris mug.  Get caffinated in style. ","Trinken Sie Ihren Vormittag, Nachmittag, Abend und Kaffee aus der hybris Becher. Holen caffinated im Stil. ",1,mug-coffee-black-1.jpg,mug-coffee-black-2.jpg,mug-coffee-2-pack.jpg,mug-coffee-espresso.jpg
hybris Thermos - White,White,1234002,14.99,1,Practical thermos with hook. Make sure your coffee or tea stays warm for hours in this sleek looking thermos with printed hybris logo. ,"Praktische Thermoskanne mit Haken. Stellen Sie sicher, Ihren Kaffee oder Tee warm bleibt fí_r Stunden in diesem schlanke suchen Thermos mit gedruckten hybris-Logo. ",1,bottle-thermo-white-1.jpg,bottle-thermo-2-pack.jpg,,
hybris Executive Pen,Silver/Black,1234003,29.99,1,The pen that makes an executive statement. Stylish pen in silver an black. The perfect accessory for any meeting or conference. ,"Der Stift, der eine Fí_hrungs Erklí_rung abgibt. Stilvollen Stift in Silber ein schwarz. Das perfekte Accessoire fí_r jede Tagung oder Konferenz. ",1,pen-executive-1.jpg,pen-executive-2.jpg,,
hybris Beer Mug,Clear/Blue,1234004,6.99,1,Traditional bavarian beer mug with hybris logo in blue. Drink your beer in the same style as hybris employees have done since the company's first days. ,Traditionellen bayerischen Bierkrug mit hybris-Logo in blau. Trinken Sie Ihr Bier in der gleichen Art wie hybris Mitarbeiter sind seit der ersten Tage des Unternehmens getan. ,1,mug-beer-1.jpg,mug-beer-2.jpg,,
hybris Sunglasses - White,White,1234005,12.49,1,The must-have accessory this summer. Cool sunglasses in Ray-Ban style with the hybris logo placed neatly on the side. These sunglasses come in white and blue.,Das Must-Have-Accessoire in diesem Sommer. Coole Sonnenbrille im Ray-Ban-Stil mit der hybris-Logo platziert ordentlich auf der Seite. Diese Sonnenbrille gibt es in weiíô und blau. ,1,sunglasses-white-1.jpg,sunglasses-white-2.jpg,sunglasses-white-3.jpg,
hybris Sunglasses - Blue,Blue,1234006,12.49,1,The must-have accessory this summer. Cool sunglasses in Ray-Ban style with the hybris logo placed neatly on the side. These sunglasses come in white and blue.,Das Must-Have-Accessoire in diesem Sommer. Coole Sonnenbrille im Ray-Ban-Stil mit der hybris-Logo platziert ordentlich auf der Seite. Diese Sonnenbrille gibt es in weiíô und blau. ,1,sunglasses-blue-1.jpg,sunglasses-blue-2.jpg,sunglasses-blue-3.jpg,
hybris Executive Notebook,Black ,1234007,19.99,0,Take sprint meeting  notes old school like a boss using the hybris notebook. Lined pages with a convenient for extra notes in the margin. ,Nehmen Sprint Meeting-Notizen der alten Schule wie ein Chef mit der hybris-Notebook. Linierten Seiten mit einem bequemen fí_r zusí_tzliche Notizen an den Rand.,1,notebook-1.jpg,notebook-2.jpg,notebook-3.jpg,notebook-4.jpg
hybris Roller Pen - Blue,Silver/Blue,1234008,1.99,1,Beautifully shaped pen in silver and blue with hybris logo. Have fun taking notes the traditional way!,"Schí_n geformte Stift in Silber und Blau mit hybris-Logo. Viel Spaíô, die Noten auf die alte Weise! ",1,pen-roller-blue-1.jpg,,,
hybris Pen - Black,Black,1234009,2.49,0,Beautifully shaped pen in black with hybris logo. Have fun taking notes the traditional way!,Wunderschí_n in schwarz mit hybris logo fí_rmigen Stift. Viel Spaíô Kenntnisse nimmt die traditionelle Art!,1,pen-black-1.jpg,,,
hybris Frisbee,Blue,1234010,4.99,1,"Code hard, play hard. Get everyone together for a round of golf frisbee with the hybris frisbee. Throw far and make the goal. ","Code hard, play hard. Holen Sie sich alle gemeinsam fí_r eine Runde Golf mit Frisbee Frisbee der hybris. Werfen weit und machen das Tor. ",1,frisbee-1.jpg,frisbee-2.jpg,,
